# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.581661376953125000e+02 4.920615196228027344e+00 1.094121187925338745e-01 2.727481424808502197e-01 4.581661376953125000e+02 4.920615196228027344e+00 1.094121187925338745e-01 2.727481424808502197e-01
1.000000000000000000e+00 4.440023193359375000e+02 4.798399925231933594e+00 1.096092015504837036e-01 2.664768993854522705e-01 4.440023193359375000e+02 4.798399925231933594e+00 1.096092015504837036e-01 2.664768993854522705e-01
1.000000000000000000e+00 4.440023193359375000e+02 4.798399925231933594e+00 1.096092015504837036e-01 2.664768993854522705e-01 4.440023193359375000e+02 4.798399925231933594e+00 1.096092015504837036e-01 2.664768993854522705e-01
1.000000000000000000e+02 3.721735382080078125e+01 7.691594958305358887e-01 1.265018433332443237e-01 3.844929113984107971e-02 3.721735382080078125e+01 7.691594958305358887e-01 1.265018433332443237e-01 3.844929113984107971e-02
2.000000000000000000e+02 1.044493770599365234e+01 3.273163139820098877e-01 1.103212386369705200e-01 1.316157635301351547e-02 1.044493770599365234e+01 3.273163139820098877e-01 1.103212386369705200e-01 1.316157635301351547e-02
3.000000000000000000e+02 4.680732727050781250e+00 1.946761459112167358e-01 8.905594795942306519e-02 6.657614372670650482e-03 4.680732727050781250e+00 1.946761459112167358e-01 8.905594795942306519e-02 6.657614372670650482e-03
4.000000000000000000e+02 2.611223220825195312e+00 1.343985646963119507e-01 7.334753125905990601e-02 4.084501881152391434e-03 2.611223220825195312e+00 1.343985646963119507e-01 7.334753125905990601e-02 4.084501881152391434e-03
5.000000000000000000e+02 1.648820400238037109e+00 1.007580235600471497e-01 6.345602869987487793e-02 2.803965006023645401e-03 1.648820400238037109e+00 1.007580235600471497e-01 6.345602869987487793e-02 2.803965006023645401e-03
6.000000000000000000e+02 1.126467227935791016e+00 7.956339418888092041e-02 5.761013925075531006e-02 2.070340793579816818e-03 1.126467227935791016e+00 7.956339418888092041e-02 5.761013925075531006e-02 2.070340793579816818e-03
7.000000000000000000e+02 8.124809265136718750e-01 6.510375440120697021e-02 5.421492829918861389e-02 1.608257414773106575e-03 8.124809265136718750e-01 6.510375440120697021e-02 5.421492829918861389e-02 1.608257414773106575e-03
8.000000000000000000e+02 6.096253395080566406e-01 5.466894432902336121e-02 5.217545107007026672e-02 1.296709408052265644e-03 6.096253395080566406e-01 5.466894432902336121e-02 5.217545107007026672e-02 1.296709408052265644e-03
9.000000000000000000e+02 4.713671505451202393e-01 4.681750386953353882e-02 5.080430209636688232e-02 1.075624255463480949e-03 4.713671505451202393e-01 4.681750386953353882e-02 5.080430209636688232e-02 1.075624255463480949e-03
1.000000000000000000e+03 3.731777966022491455e-01 4.071593284606933594e-02 4.969561472535133362e-02 9.123504860326647758e-04 3.731777966022491455e-01 4.071593284606933594e-02 4.969561472535133362e-02 9.123504860326647758e-04
1.001000000000000000e+03 3.723453879356384277e-01 4.066184163093566895e-02 4.968500137329101562e-02 9.109375532716512680e-04 3.723453879356384277e-01 4.066184163093566895e-02 4.968500137329101562e-02 9.109375532716512680e-04
